contigName	contigLen	totalAvgDepth	edges.bam	edges.bam-var
edge_47	167273	16.5599	16.5599	12.1259
edge_48	2.2985e+06	15.0867	15.0867	624.516
edge_49	16425	8.96836	8.96836	2.5243
edge_50	8269	0.584924	0.584924	0.242796
edge_51	279244	14.6945	14.6945	18.0027
edge_52	1370	0.99918	0.99918	0.000819672
edge_53	88577	12.1499	12.1499	7.65579
edge_54	3038	15.9692	15.9692	3.2692
edge_55	2468	10.6963	10.6963	0.496429
edge_56	6170	0	0	0
edge_57	2.19738e+06	14.4738	14.4738	20.8624
edge_58	38717	4.76622	4.76622	1.94245
edge_59	130660	16.0209	16.0209	88.6415
edge_60	13639	7.85455	7.85455	3.55105
edge_61	59915	9.28962	9.28962	7.18339
edge_62	22054	12.6112	12.6112	9.3864
edge_63	6581	15.9731	15.9731	11.4946
edge_64	757930	33.7168	33.7168	31.0157
edge_65	24742	28.4685	28.4685	16.1376
edge_66	720	16.107	16.107	0.144942
edge_67	206917	9.72064	9.72064	10.3614
edge_68	26089	11.9953	11.9953	18.5282
edge_69	58602	10.2907	10.2907	15.7831
edge_70	1832	13.17	13.17	0.175709
edge_71	7524	7.49905	7.49905	1.26293
edge_72	139893	8.88439	8.88439	18.1277
edge_73	8182	9.3008	9.3008	1.78158
edge_74	137116	23.4945	23.4945	72.4212
edge_75	2348	4.45359	4.45359	0.254331
edge_76	1186	0	0	0
edge_77	27043	27.8749	27.8749	41.0771
edge_78	44690	24.7037	24.7037	28.045
edge_79	397134	27.2977	27.2977	56.7754
edge_80	62481	27.2866	27.2866	48.4564
edge_81	61713	26.7645	26.7645	24.4018
edge_82	129772	35.3362	35.3362	47.3152
edge_83	119883	24.3253	24.3253	62.9874
edge_84	5974	7.21411	7.21411	1.37528
edge_85	11245	5.19522	5.19531	11.8547
edge_86	90477	23.344	23.344	311.978
edge_87	19718	6.23901	6.23901	12.1087
edge_88	49565	7.18355	7.18355	32.592
edge_89	57487	31.7884	31.7884	50.9027
edge_90	23705	24.3423	24.3423	18.2126
edge_91	92587	33.6831	33.6831	20.1773
edge_92	39822	18.1004	18.1004	50.743
edge_93	1022	28.4014	28.4014	0.481651
edge_94	19531	15.46	15.46	4.1787
edge_95	12643	17.2714	17.2714	8.14071
edge_96	1833	0.86631	0.86631	0.115886
edge_97	1833	0	0	0
edge_98	179648	25.7608	25.7608	45.7053
edge_99	284010	30.0027	30.0027	64.2022
edge_100	44923	27.2908	27.2908	28.9306
edge_101	5424	4.36936	4.36936	0.477637
edge_102	41354	8.12373	8.12373	1.89198
edge_103	37852	21.9405	21.9405	12.6512
edge_104	194748	32.2966	32.2966	25.3011
edge_105	53676	20.9488	20.9488	101.361
edge_106	316927	34.0527	34.0527	163.858
edge_107	16514	10.3799	10.3799	1.77131
edge_108	45034	7.57107	7.57107	11.0117
edge_109	4303	0	0	0
edge_110	4304	6.24145	6.24145	0.371009
edge_111	52113	30.1891	30.1891	14.7817
edge_112	144701	17.2362	17.2362	100.534
edge_113	14132	3.93706	3.93706	8.91989
edge_114	127971	8.3005	8.3005	6.53571
edge_115	392110	5.36775	5.36775	3.19721
edge_116	393362	8.8712	8.8712	10.515
edge_117	267752	6.52331	6.52331	7.4827
edge_118	13492	2.92805	2.92805	0.734263
edge_119	24318	8.69782	8.69782	5.5968
edge_120	6499	3.31422	3.31422	1.58947
edge_121	81614	6.18268	6.18269	6.04402
edge_122	21780	1.96523	1.96523	1.13234
edge_123	21612	1.6943	1.6943	0.257497
edge_124	10930	4.21058	4.21058	1.90153
edge_125	102092	6.31786	6.31786	5.8247
edge_126	345105	75.0865	75.0865	124.426
edge_127	72361	6.03445	6.03445	4.39887
edge_128	98819	5.15308	5.15308	5.09763
edge_129	123327	4.51621	4.51621	3.73916
edge_130	56280	2.86576	2.86576	1.14404
edge_131	5007	20.4118	20.4118	1.39138
edge_132	6286	7.3147	7.3147	0.976967
edge_133	6537	6.46783	6.46783	14.5549
edge_134	39274	34.5459	34.5459	40.6594
edge_135	398575	4.07006	4.07006	3.95713
edge_136	1405	4.27251	4.27251	1.51099
edge_137	5236	7.97188	7.97188	2.55124
edge_138	92054	9.00916	9.00916	17.3086
edge_139	188112	4.56012	4.56012	3.11871
edge_140	3.37308e+06	18.6702	18.6702	18.3786
edge_141	1.64127e+06	11.8085	11.8085	10.5962
edge_142	32208	26.164	26.164	11.708
edge_143	15284	1.04824	1.04824	0.731422
edge_144	15932	4.90489	4.90489	2.58357
edge_145	2.15963e+06	37.8135	37.8135	63.9897
edge_146	16737	2.20365	2.20365	0.484779
edge_147	9759	27.0332	27.0332	8.15047
edge_148	8607	0	0	0
edge_149	9093	0.374483	0.374483	0.234276
edge_150	9630	8.06171	8.06171	1.75903
edge_151	30684	24.6483	24.6483	27.0637
edge_152	897	7.62517	7.62517	0.317757
edge_153	2794	31.7205	31.7205	3.04599
edge_154	5557	9.11504	9.11504	6.4533
edge_155	47242	5.49777	5.49777	3.5256
edge_156	36958	6.81417	6.81417	8.75038
edge_157	8612	0	0	0
edge_158	783683	41.0141	41.0141	106.215
edge_159	7149	21.2793	21.2793	3.3575
edge_160	1760	0	0	0
edge_161	2058	2.85744	2.85744	0.73374
edge_162	1268	0	0	0
edge_163	903918	6.08762	6.08762	6.17019
edge_164	385049	8.52635	8.52635	9.30246
edge_165	618202	18.6108	18.6108	19.4562
edge_166	2.69174e+06	17.9849	17.9849	100.511
edge_167	505930	16.1969	16.1969	13.1374
edge_168	24671	11.3834	11.3834	15.1262
edge_169	25921	0.512514	0.512514	0.639229
edge_170	65901	7.77921	7.77921	24.4619
edge_171	19105	8.11902	8.11902	17.0904
edge_172	35613	11.2177	11.2177	27.6292
edge_173	32434	10.6091	10.6091	15.1959
edge_174	520420	7.15707	7.15707	7.32938
edge_175	6117	4.51047	4.51047	0.340446
edge_176	14020	5.73944	5.73944	3.89917
edge_177	32170	1.76493	1.76493	3.84712
edge_178	73206	5.92369	5.92369	4.65245
edge_179	149354	6.60262	6.60262	9.5133
edge_180	45386	6.8102	6.8102	5.63023
edge_181	24336	3.64967	3.64967	17.521
edge_182	16285	4.2952	4.2952	0.577405
edge_183	62597	6.43821	6.43821	13.5468
edge_184	51608	6.69093	6.69093	5.0517
edge_185	246097	10.5905	10.5905	12.2517
edge_186	78427	5.81321	5.81323	7.23859
edge_187	88199	7.36246	7.36246	11.6331
edge_188	409521	6.66545	6.66545	12.8092
edge_189	14989	4.0004	4.0004	0.539121
edge_190	2.27447e+06	31.06	31.06	115.17
edge_191	1.10177e+06	11.9711	11.9711	13.7058
edge_192	2.77313e+06	62.1963	62.1963	72.245
edge_193	25017	4.86098	4.86098	4.61683
edge_194	327197	7.10446	7.10446	5.23158
edge_195	105275	6.09493	6.09493	6.74289
edge_196	40778	6.54809	6.54809	1.48334
edge_197	18350	9.57231	9.57231	2.90128
edge_198	42344	6.78122	6.78122	2.44278
edge_199	12200	7.98299	7.98299	1.86662
edge_200	40888	6.15482	6.15482	3.71569
edge_201	283986	6.6577	6.6577	4.03413
edge_202	29589	4.3032	4.3032	2.45022
edge_203	6466	7.72973	7.72973	2.29512
edge_204	186256	8.02298	8.02298	7.39623
edge_205	27031	3.98069	3.98069	2.16574
edge_206	4854	7.21769	7.21769	0.482055
edge_207	3483	0.156316	0.156316	0.131922
edge_208	244637	30.6852	30.6852	35.4855
edge_209	60701	17.1196	17.1196	4.98131
edge_210	27859	7.00787	7.00787	18.6905
edge_211	397072	14.7024	14.7024	23.2844
edge_212	15627	3.22317	3.22317	0.632803
edge_213	5024	0	0	0
edge_214	7124	11.2105	11.2105	2.34532
edge_215	120762	12.1481	12.1481	28.2681
edge_216	5956	6.7947	6.7947	7.38746
edge_217	1401	0	0	0
edge_218	383229	14.8102	14.8102	13.0933
edge_219	148414	14.977	14.977	18.687
edge_220	65627	9.00052	9.00052	8.74541
edge_221	14241	0.773047	0.773047	0.847722
edge_222	67179	3.80956	3.80956	3.48601
edge_223	96395	9.87685	9.87685	8.48912
edge_224	918	25.8867	25.8867	0.113617
edge_225	103412	25.5338	25.5338	20.5211
edge_226	32232	6.55586	6.55586	4.14103
edge_227	28935	4.59006	4.59006	9.88938
edge_228	15904	0.493018	0.493018	0.263453
edge_229	4876	5.2774	5.2774	1.40936
edge_230	9379	4.17716	4.17727	0.880676
edge_231	1805	7.45015	7.45015	1.71322
edge_232	146644	6.17941	6.17941	8.33058
edge_233	3472	56.1839	56.1839	4.1869
edge_234	3561	46.5928	46.5928	6.10147
edge_235	5461	73.0731	73.0731	523.752
edge_236	2043	13.1083	13.1083	4.19284
edge_237	2896	0	0	0
edge_238	1556	0	0	0
edge_239	18070	32.2509	32.2509	5.02362
edge_240	23984	7.75082	7.75082	3.47272
edge_241	2740	24.3676	24.3676	1.14179
edge_242	46767	5.84268	5.84268	4.4066
edge_243	119991	4.16389	4.16389	3.79798
edge_244	256077	7.75593	7.75593	10.942
edge_245	67551	5.05209	5.05209	2.52438
edge_246	6417	9.84331	9.84331	1.86303
edge_247	9250	0	0	0
edge_248	135275	5.51426	5.51427	19.2409
edge_249	24823	6.88931	6.88931	3.77804
edge_250	24235	1.27914	1.27914	2.35325
edge_251	153913	7.78681	7.78681	5.12799
edge_252	211082	4.78663	4.78663	5.94315
edge_253	189356	9.35314	9.35314	11.3624
edge_254	61166	49.1152	49.1152	77.7619
edge_255	72835	6.11619	6.11619	3.63698
edge_256	91815	6.38752	6.38752	4.32291
edge_257	1.31406e+06	11.1274	11.1274	11.7265
edge_258	153718	11.9624	11.9624	11.9352
edge_259	202321	3.52752	3.52752	1.80156
edge_260	2.08688e+06	48.2521	48.2521	53.2051
edge_261	3.79956e+06	25.5046	25.5046	25.2541
edge_262	11800	29.3803	29.3803	21.7637
edge_263	2081	0	0	0
edge_264	27870	9.54214	9.54214	5.23159
edge_265	1424	23.0039	23.0039	9.98031
edge_266	8363	9.39036	9.39036	1.93907
edge_267	79108	2.77473	2.77473	0.743801
edge_268	10975	0.244804	0.244804	0.184896
edge_269	93051	5.47465	5.47466	4.45291
edge_270	88447	8.81262	8.81262	5.86303
edge_271	46717	6.50589	6.50589	8.62694
edge_272	16552	8.42586	8.42586	4.4453
edge_273	32237	10.6444	10.6444	4.76314
edge_274	10859	5.75684	5.75693	31.5877
edge_275	18710	0.236476	0.236476	0.180562
edge_276	17240	3.30901	3.30901	2.20842
edge_277	21537	5.94773	5.94773	16.9667
edge_278	207606	7.47408	7.47408	7.39063
edge_279	53859	6.0269	6.0269	6.93837
edge_280	126987	5.70426	5.70426	6.08487
edge_281	76885	8.13276	8.13276	3.33365
edge_282	8398	4.35548	4.35548	1.83551
edge_283	30102	5.07372	5.07372	3.18762
edge_284	32042	10.6957	10.6957	8.68639
edge_285	7886	0	0	0
edge_286	6398	4.83147	4.83163	1.45971
edge_287	14358	11.4336	11.4336	1.85705
edge_288	2095	5.11825	5.11825	0.275102
edge_289	5085	6.3923	6.3923	4.76958
edge_290	1147	5.73119	5.73119	1.52206
edge_291	1471	19.4073	19.4073	0.858245
edge_292	5.17821e+06	7.77135	7.77135	6.39396
edge_293	5191	2.92363	2.92363	1.038
edge_294	133396	8.00007	8.00007	5.75841
edge_295	15603	3.27677	3.27677	0.864197
edge_296	21988	34.2694	34.2694	72.3281
edge_297	65900	2.29977	2.29977	1.60075
edge_298	10975	0.604527	0.604527	0.239099
edge_299	38250	11.0032	11.0032	2.17106
edge_300	38950	1.47276	1.47276	2.82783
edge_301	22607	5.92541	5.92541	2.2647
edge_302	35082	6.01033	6.01033	5.26884
edge_303	2.79282e+06	16.2495	16.2495	16.4979
edge_304	620	0	0	0
edge_305	10410	10.0723	10.0723	0.538912
edge_306	9830	0	0	0
edge_307	8136	5.8307	5.8307	0.63158
edge_308	634	1.43802	1.43802	0.246667
edge_309	1493	0.238273	0.238273	0.181635
edge_310	47257	1.88728	1.88728	1.64015
edge_311	24648	11.4258	11.4258	1.60839
edge_312	6822	7.29616	7.29616	1.03297
edge_313	8926	0.545579	0.545579	0.247941
edge_314	596	3.87668	3.87668	12.1352
edge_315	1446	9.79784	9.79784	0.166051
edge_316	51036	16.6836	16.6836	30.2732
edge_317	4506	7.66322	7.66322	2.05536
edge_318	2884	0	0	0
edge_319	6847	6.18605	6.18605	3.20483
edge_320	6898	4.85107	4.85107	0.212148
edge_321	2206	0	0	0
edge_322	2677	3.20815	3.20815	0.289993
edge_323	3627	0.218292	0.218292	0.170693
edge_324	2384	6.77305	6.77305	0.379738
edge_325	9135	7.82905	7.82905	6.02458
edge_326	8683	0.182468	0.182468	0.149209
edge_327	2025	0	0	0
edge_328	3302	4.94765	4.94765	0.120082
edge_329	3621	0	0	0
edge_330	12715	5.47409	5.47409	1.20181
edge_331	6692	0	0	0
edge_332	18186	7.66046	7.66046	2.27267
edge_333	15119	0.629501	0.629501	0.233261
edge_334	9370	9.45586	9.45586	1.49258
edge_335	1.01663e+06	14.2334	14.2334	24.4643
edge_336	1.11344e+06	14.5136	14.5136	22.7927
edge_337	27142	6.19028	6.19028	2.59025
edge_338	14800	15.8805	15.8805	2.22183
edge_339	31563	1.48518	1.48518	1.42086
edge_340	1676	4.83945	4.83945	2.1493
edge_341	1753	0	0	0
edge_342	47766	6.68353	6.68353	2.96768
edge_343	10309	0.114086	0.114086	0.101081
edge_344	9916	13.5763	13.5763	1.9606
edge_345	6469	0	0	0
edge_346	7440	10.9392	10.9392	3.71031
edge_347	13260	4.61518	4.61526	1.45361
edge_348	2421	0	0	0
edge_349	5813	13.5986	13.5986	0.833773
edge_350	794	2.06211	2.06211	0.0583445
edge_351	1948	0	0	0
edge_352	4559	8.82899	8.82899	9.19198
edge_353	5622	0	0	0
edge_354	42776	8.73115	8.73115	39.0853
edge_355	5454	26.9934	26.9934	3.57905
edge_356	4812	15.9535	15.9535	4.16022
edge_357	46485	11.6638	11.6638	15.369
edge_358	17356	11.5622	11.5622	5.24001
edge_359	4180	10.4854	10.4854	5.44972
edge_360	3498	0	0	0
edge_361	3662	0	0	0
edge_362	3079	0.836122	0.836122	0.137068
edge_363	55124	38.2048	38.2048	36.6632
edge_364	97940	6.08216	6.08216	11.1603
edge_365	72684	16.4407	16.4407	14.4742
edge_366	134742	25.6182	25.6182	28.8637
edge_367	5770	44.0372	44.0374	4.98131
edge_368	448201	34.1897	34.1897	224.665
edge_369	148478	9.73486	9.73487	10.7635
edge_370	13550	26.2097	26.2097	3.06069
edge_371	2.11662e+06	42.3846	42.3846	127.101
edge_372	34137	6.29847	6.2985	7.39814
edge_373	12044	25.7154	25.7154	24.6443
edge_374	20984	8.82217	8.82217	1.03258
edge_375	27855	7.29341	7.29341	1.62633
edge_376	25220	4.30144	4.30144	1.11353
edge_377	17416	0.746959	0.746959	0.188991
edge_378	987	0	0	0
edge_379	9557	11.8763	11.8763	5.09119
edge_380	21909	15.8109	15.8109	19.5894
edge_381	614080	40.4335	40.4335	153.259
edge_382	70609	44.0402	44.0402	69.2877
edge_383	2.14806e+06	21.824	21.824	20.2841
edge_384	679325	41.0833	41.0833	168.502
edge_385	21544	4.83014	4.83014	3.09603
edge_386	12704	33.1748	33.1749	14.8381
edge_387	5955	25.1159	25.1159	4.29477
edge_388	4218	1.36357	1.36357	0.697634
edge_389	3076	32.5666	32.5666	2.57528
edge_390	3630	0	0	0
edge_391	1637	28.1782	28.1782	14.3428
edge_392	11534	1.51203	1.51203	0.844692
edge_393	22023	16.3201	16.3201	7.86803
edge_394	39655	13.0324	13.0324	19.4373
edge_395	21173	4.1701	4.1701	8.02276
edge_396	16951	2.31248	2.31248	3.20044
edge_397	11885	21.5444	21.5444	18.8097
edge_398	13987	14.3305	14.3305	30.7346
edge_399	8028	23.7668	23.7668	15.3198
edge_400	697	15.777	15.777	0.195585
edge_401	692	17.5461	17.5461	0.932242
edge_402	19652	10.804	10.804	7.21003
edge_403	66860	38.1257	38.1257	202.023
edge_404	2366	1.95397	1.95397	3.91117
edge_405	18168	10.8413	10.8413	1.73117
edge_406	209473	38.5312	38.5312	177.759
edge_407	27432	14.6042	14.6042	5.81293
edge_408	18444	5.67957	5.67957	2.96308
edge_409	4490	0	0	0
edge_410	1660	16.3821	16.3821	1.37744
edge_411	1733	13.9589	13.9589	3.84227
edge_412	7065	0	0	0
edge_413	4777	0	0	0
edge_414	9189	18.4749	18.4749	26.6043
edge_415	11856	29.2078	29.2078	4.22517
edge_416	2756	22.2276	22.2276	0.599642
edge_417	1595	0	0	0
edge_418	12879	31.1978	31.1978	38.3815
edge_419	5633	4.33996	4.33996	0.624616
edge_420	43895	16.7056	16.7056	81.5296
edge_421	13242	6.80324	6.80324	0.468923
edge_422	853	0	0	0
edge_423	1979	24.0957	24.0957	3.26819
edge_424	7893	0.85122	0.85122	2.86081
edge_425	649	29.9098	29.9098	0.090245
edge_426	5272	0	0	0
edge_427	14751	28.4726	28.4726	5.89634
edge_428	4106	33.022	33.022	1.46527
edge_429	2862	0	0	0
edge_430	814	0	0	0
edge_431	1831	18.2796	18.2802	2.00418
edge_432	854302	14.4099	14.4099	14.9117
edge_433	5107	9.7912	9.79141	1.40852
edge_434	10013	1.18331	1.18331	1.35016
edge_435	3904	0.383324	0.383324	0.471991
edge_436	250623	14.0288	14.0288	19.4049
edge_437	14434	6.78654	6.78654	7.84499
edge_438	118326	15.5131	15.5131	25.5656
edge_439	10051	7.56388	7.56388	2.02445
edge_440	3276	2.26552	2.26552	1.69976
edge_441	109044	6.18993	6.18993	5.80236
edge_442	2171	0	0	0
edge_443	13174	6.96537	6.96537	1.44191
edge_444	3951	0	0	0
edge_445	12767	3.92732	3.92732	1.41498
edge_446	8953	4.26264	4.26275	0.427772
edge_447	20526	8.53141	8.53141	7.75862
edge_448	4777	2.66717	2.66717	0.265773
edge_449	10301	4.01074	4.01074	12.0995
edge_450	49025	4.96424	4.96424	2.66894
edge_451	4927	28.287	28.287	6.74494
edge_452	5058	0.653015	0.653015	0.226633
edge_453	1886	4.33641	4.33641	0.622216
edge_454	1587	0	0	0
edge_455	14218	10.3347	10.3347	3.44191
edge_456	39268	23.6086	23.6086	10.9178
edge_457	131603	13.5089	13.5089	14.2127
edge_458	332909	42.1341	42.1341	144.689
edge_459	73203	6.28489	6.28489	3.34407
edge_460	64802	10.0965	10.0965	6.23072
edge_461	115470	13.551	13.551	57.5772
edge_462	157329	34.7766	34.7766	123.472
edge_463	34778	9.20368	9.20368	2.0262
edge_464	692018	19.3624	19.3624	33.3179
edge_465	77017	3.24187	3.24187	2.91414
edge_466	2.09446e+06	61.9786	61.9786	214.548
edge_467	10861	5.95901	5.95901	7.56381
edge_468	12982	2.47639	2.47639	1.63019
edge_469	6289	8.80811	8.80811	1.13642
edge_470	39043	3.63091	3.63091	3.27502
edge_471	19080	1.44089	1.44089	0.486543
edge_472	26905	7.69109	7.69109	3.33747
edge_473	382361	35.4549	35.4549	122.77
edge_474	52027	7.18692	7.18692	3.01291
edge_475	39537	13.2627	13.2627	37.4989
edge_476	4248	0	0	0
edge_477	2417	12.5046	12.5046	0.410715
edge_478	24759	14.7843	14.7843	13.8148
edge_479	37756	0.461097	0.461097	0.804317
edge_480	7927	21.6568	21.6568	1.92791
edge_481	18953	0.579801	0.579854	0.405747
edge_482	16052	5.77236	5.77236	1.797
edge_483	13089	12.2571	12.2571	3.38434
edge_484	23888	0.555733	0.555733	0.469953
edge_485	8499	7.26566	7.26566	9.02069
edge_486	11040	1.90579	1.90579	1.92045
edge_487	30327	10.832	10.832	14.6201
edge_488	3777	8.4643	8.4643	1.75453
edge_489	11500	7.82529	7.82529	2.56936
edge_490	138290	7.71949	7.71949	10.964
edge_491	11969	20.2623	20.2623	9.28696
edge_492	52981	10.515	10.515	16.0852
edge_493	636	4.9856	4.9856	0.0142251
edge_494	32405	2.53468	2.53468	2.6023
edge_495	17941	1.36755	1.36755	1.44241
edge_496	4992	18.4356	18.4356	5.95398
edge_497	19098	11.6372	11.6372	7.38185
edge_498	18056	4.48593	4.48593	8.21439
edge_499	5979	0.0130383	0.0130383	0.0128685
edge_500	3934	12.7836	12.7836	1.98301
edge_501	2208	18.5442	18.5442	1.0328
edge_502	24240	10.3572	10.3572	8.01057
edge_503	23548	10.6902	10.6902	9.821
edge_504	67228	9.74056	9.74056	4.18191
edge_505	10833	0	0	0
edge_506	64413	2.96016	2.96016	2.33222
edge_507	1.56077e+06	11.7244	11.7244	15.2888
edge_508	2.11138e+06	63.7469	63.7469	67.3405
edge_509	99640	15.2593	15.2593	16.6447
edge_510	45250	17.3576	17.3576	15.6913
edge_511	57081	11.8122	11.8122	14.9982
edge_512	1.66471e+06	12.7292	12.7292	30250.1
edge_513	3246	4.93605	4.93605	7.67332
edge_514	19052	6.83959	6.83959	1.85845
edge_515	30575	4.3954	4.3954	6.38147
edge_516	111786	7.82283	7.82283	4.95786
edge_517	106580	3.5145	3.5145	3.53954
edge_518	10433	9.69036	9.69036	1.65955
edge_519	50664	7.62222	7.62222	7.95451
edge_520	77159	4.29495	4.29495	3.406
edge_521	58383	19.0995	19.0995	21.4998
edge_522	12600	6.61679	6.61679	2.80269
edge_523	2600	0	0	0
edge_524	2407	15.7195	15.7195	8.96335
edge_525	865	15.7888	15.7888	0.463741
edge_526	1228	4.98609	4.98609	0.0137338
edge_527	679170	44.3737	44.3737	107.942
edge_528	4629	0.663541	0.663541	1.43287
edge_529	15138	15.2516	15.2516	3.3968
edge_530	15009	5.04509	5.04509	3.45008
edge_531	1343	22.2037	22.2037	0.763001
edge_532	38631	8.59723	8.59723	3.243
edge_533	266740	8.35885	8.35885	9.78774
edge_534	64577	8.02875	8.02875	7.22512
edge_535	10965	14.4144	14.4144	1.09852
edge_536	10541	9.88095	9.88095	3.8557
edge_537	73193	16.6427	16.6427	12.9202
edge_538	3593	8.31571	8.31571	6.53529
edge_539	37793	5.47523	5.47523	4.80906
edge_540	142600	12.9348	12.9348	49.4439
edge_541	26376	5.39381	5.39381	1.01972
edge_542	53027	7.41771	7.41771	11.762
edge_543	21307	2.09713	2.09713	0.434786
edge_544	16343	5.69437	5.69437	3.78388
edge_545	15419	3.1543	3.1543	2.43761
edge_546	6472	10.9674	10.9674	1.1478
edge_547	394547	17.8096	17.8096	24.639
edge_548	26157	12.7502	12.7502	4.20922
edge_549	22866	1.04279	1.04279	0.262855
edge_550	2381	16.7351	16.7351	2.12935
edge_551	730688	24.2857	24.2857	53.8944
edge_552	25752	13.4527	13.4527	3.26991
edge_553	2208	17.9655	17.9655	0.33863
edge_554	4638	0.947192	0.947192	0.0500298
edge_555	3.45611e+06	15.4783	15.4783	20.9918
edge_556	6063	0	0	0
edge_557	27267	3.38408	3.38408	0.690282
edge_558	9754	4.03946	4.03946	1.26016
edge_559	1001	0	0	0
edge_560	10664	1.78105	1.78105	0.171021
edge_561	38432	3.50572	3.50572	3.67648
edge_562	217575	7.32451	7.32451	9.97911
edge_563	124089	5.28801	5.28801	7.50975
edge_564	130366	9.52326	9.52326	6.98443
edge_565	668805	9.37903	9.37903	7.00244
edge_566	3186	3.7859	3.7859	0.636227
edge_567	31772	4.66153	4.66153	9.14331
edge_568	23644	11.8422	11.8422	31.592
edge_569	44582	3.97556	3.97556	1.84666
edge_570	6814	73.7421	73.7421	140.974
edge_571	1.16422e+06	64.0143	64.0143	78.4941
edge_572	3759	21.24	21.24	8.2523
edge_573	3980	0	0	0
edge_574	9975	4.66891	4.66891	2.52036
edge_575	4911	0.450956	0.450956	0.247643
edge_576	170185	8.38576	8.38576	5.32258
edge_577	5838	30.2776	30.2776	31.9413
edge_578	6494	3.43112	3.43112	10.7121
edge_579	9.2242e+06	35.2672	35.2672	35.1288
edge_580	20544	2.65608	2.65608	2.25741
edge_581	79931	20.8991	20.8991	97.0475
edge_582	59128	6.94271	6.94271	9.96727
edge_583	2557	7.6585	7.6585	0.247416
edge_584	46521	2.59494	2.59494	2.32717
edge_585	29597	4.60797	4.60797	5.34896
edge_586	253312	54.0507	54.0507	263.082
edge_587	32370	11.0254	11.0254	7.58946
edge_588	3.69557e+06	41.3924	41.3924	42.5728
edge_589	30825	8.48971	8.48971	7.1021
edge_590	3516	2.44355	2.44355	0.351496
edge_591	12319	0.408826	0.408826	0.241715
edge_592	65742	12.0929	12.0929	12.6344
edge_593	24806	3.35642	3.35642	1.32719
edge_594	2607	1.23321	1.23321	0.336056
edge_595	1242	0	0	0
edge_596	43160	8.11197	8.11197	7.08607
edge_597	1276	0	0	0
edge_598	5915	5.70772	5.70772	0.582684
edge_599	47734	2.66848	2.66848	1.63639
edge_600	5084	7.65667	7.65667	2.26361
edge_601	28133	2.66612	2.66612	0.96935
edge_602	1342	0.185403	0.185403	0.330826
edge_603	9098	10.8013	10.8013	2.39589
edge_604	25094	3.04927	3.04927	13.8489
edge_605	5449	36.2578	36.2578	5.63905
edge_606	13574	10.3329	10.3329	1.99269
edge_607	11665	26.1159	26.1159	4.61593
edge_608	4791	0	0	0
edge_609	6618	4.54344	4.54344	1.77867
edge_610	93571	7.86634	7.86634	21.4074
edge_611	1121	0	0	0
edge_612	58093	6.01836	6.01836	2.91231
edge_613	231098	8.23414	8.23414	13.4519
edge_614	88397	2.68226	2.68226	2.30865
edge_615	41127	31.1879	31.1879	298.849
edge_616	37327	59.7951	59.7951	275.814
edge_617	9669	4.60405	4.60405	1.54623
edge_618	23403	3.84247	3.84247	5.98508
edge_619	77629	7.6406	7.6406	4.39594
edge_620	5916	6.04474	6.04474	0.838592
edge_621	15856	7.94709	7.94709	2.51964
edge_622	9219	2.62862	2.62862	0.982386
edge_623	400103	5.00713	5.00713	7.38144
edge_624	28668	8.4999	8.4999	8.63619
